stamp;x;y;z
07/11/2020 12.54.55;-0,51771855;-0,02130529;-0,25885928
07/11/2020 12.54.55;-0,18216023;0,02130529;-0,083090626
07/11/2020 12.54.55;-0,19920446;-0,024501082;-0,07563378
07/11/2020 12.54.55;0,2972088;-0,033023197;0,16724652
07/11/2020 12.54.55;0,3930826;-0,020240024;0,24074976
07/11/2020 12.54.56;-0,22796659;-0,051132694;-0,029827405
07/11/2020 12.54.56;-0,20559604;-0,054328486;-0,051132694
07/11/2020 12.54.56;-0,16298546;-0,05219796;-0,05219796
07/11/2020 12.54.56;-0,14807177;-0,04580637;-0,043675844
07/11/2020 12.54.56;-0,054328486;-0,018109497;-0,024501082
07/11/2020 12.54.57;-0,25672874;-0,002130529;-0,12037488
07/11/2020 12.54.57;-0,020240024;0;0,018109497
07/11/2020 12.54.57;-0,10546118;-0,0479369;-0,034088463
07/11/2020 12.54.57;0,07243799;-0,06498113;0,07137272
07/11/2020 12.54.57;0,07989483;-0,05752428;0,101200126
07/11/2020 12.54.57;-0,07456851;-0,04474111;0,034088463
07/11/2020 12.54.58;-0,025566347;-0,040480047;0,008522116
07/11/2020 12.54.58;-0,03089267;-0,035153728;-0,00958738
07/11/2020 12.54.58;-0,1587244;-0,010652645;-0,09267801
07/11/2020 12.55.00;0,16618125;0,007456851;0,07456851
07/11/2020 12.55.00;0,16618125;0,007456851;0,07456851
07/11/2020 12.55.00;0,16618125;0,007456851;0,07456851
07/11/2020 12.55.00;0,16618125;0,007456851;0,07456851
07/11/2020 12.55.00;0,16618125;0,007456851;0,07456851
07/11/2020 12.55.00;0,16618125;0,007456851;0,07456851
07/11/2020 12.55.00;0,16618125;0,007456851;0,07456851
07/11/2020 12.55.00;0,16618125;0,007456851;0,07456851
07/11/2020 12.55.00;-0,3749731;0,0010652645;-0,21944448
07/11/2020 12.55.00;-0,19707392;0,03834952;-0,112918034
07/11/2020 12.55.00;0,066046394;0,023435818;0,01917476
07/11/2020 12.55.00;0,15339808;-0,010652645;0,0777643
07/11/2020 12.55.01;-0,039414786;-0,03089267;0,008522116
07/11/2020 12.55.01;-0,022370555;-0,056459017;0,05539375
07/11/2020 12.55.01;-0,23861924;-0,039414786;-0,06178534
07/11/2020 12.55.01;0,013848438;-0,023435818;0,03195793
07/11/2020 12.55.01;0,08948222;-0,014913702;0,043675844
07/11/2020 12.55.02;-0,1949434;0,01917476;-0,13954964
07/11/2020 12.55.02;0,0479369;0,043675844;0,00958738
07/11/2020 12.55.02;0,21624869;0,008522116;0,101200126
07/11/2020 12.55.02;0,30253512;-0,002130529;0,14487597
07/11/2020 12.55.02;-0,17789917;-0,034088463;-0,07882957
07/11/2020 12.55.03;-0,52837116;-0,06711166;-0,21092236
07/11/2020 12.55.03;-0,041545313;-0,018109497;0,025566347
07/11/2020 12.55.20;-0,3717773;-0,026631612;-0,16405073
07/11/2020 12.55.20;-0,094808534;-0,00958738;-0,054328486
07/11/2020 12.55.20;-0,037284255;-0,01917476;0,0010652645
07/11/2020 12.55.20;0,0063915867;-0,023435818;0,015978966
07/11/2020 12.57.33;0,25353295;-0,029827405;0,18109496
07/11/2020 12.57.33;0,16618125;-0,014913702;0,11611383
07/11/2020 12.57.33;0,084155895;-0,026631612;0,05006743
07/11/2020 12.57.33;-0,39414784;-0,017044231;-0,18961707
07/11/2020 12.57.33;-0,43569317;-0,0127831735;-0,2396845
07/11/2020 12.57.34;-0,06924219;0,008522116;-0,043675844
07/11/2020 12.57.34;-0,14168017;-0,022370555;-0,051132694
07/11/2020 12.57.34;0,07243799;-0,024501082;0,0479369
07/11/2020 12.57.34;0,09161274;-0,026631612;0,06711166
07/11/2020 12.57.34;0,07456851;-0,027696876;0,082025364
07/11/2020 12.57.35;0,27377295;-0,0053263223;0,17470337
07/11/2020 12.57.35;0,11611383;-0,00958738;0,066046394
07/11/2020 12.57.35;-0,3174488;-0,035153728;-0,15765914
07/11/2020 12.57.35;-0,49534798;-0,02130529;-0,25353295
07/11/2020 12.57.35;-0,07137272;0,004261058;-0,027696876
07/11/2020 12.57.36;-0,40266997;-0,02876214;-0,18429075
07/11/2020 12.57.36;0,002130529;-0,035153728;0,011717909
07/11/2020 12.59.53;0,011717909;-0,018109497;0,025566347
07/11/2020 12.59.53;-0,17789917;-0,024501082;-0,08522116
07/11/2020 12.59.53;-0,15765914;-0,007456851;-0,08948222
07/11/2020 12.59.53;-0,26631612;0;-0,12357068
07/11/2020 13.02.20;0,017044231;-0,026631612;0,03195793
07/11/2020 13.02.20;-0,099069595;-0,034088463;0
07/11/2020 13.02.20;-0,029827405;-0,034088463;0,026631612
07/11/2020 13.02.20;-0,098004326;-0,03195793;-0,015978966
07/11/2020 13.02.20;-0,10652645;-0,03195793;-0,036218993
07/11/2020 13.02.20;-0,2514024;-0,03089267;-0,112918034
07/11/2020 13.02.21;-0,11611383;-0,0031957934;-0,046871636
07/11/2020 13.02.21;0,023435818;0,002130529;0,025566347
07/11/2020 13.02.21;0,112918034;-0,0127831735;0,06178534
07/11/2020 13.02.21;0,036218993;-0,022370555;0,033023197
07/11/2020 13.02.21;0,15233281;-0,020240024;0,10972224
07/11/2020 13.02.22;0,15659387;-0,02876214;0,11504856
07/11/2020 13.02.22;-0,06924219;-0,025566347;0,013848438
07/11/2020 13.02.22;0,17896444;-0,013848438;0,094808534
07/11/2020 13.02.22;-0,11611383;-0,024501082;-0,049002163
07/11/2020 13.02.22;-0,39947417;-0,023435818;-0,18642128
07/11/2020 13.02.23;-0,35473305;-0,015978966;-0,17576863
07/11/2020 13.02.23;-0,17576863;-0,007456851;-0,084155895
07/11/2020 13.02.23;-0,17576863;-0,007456851;-0,084155895
07/11/2020 13.02.23;-0,05006743;-0,04580637;-0,0010652645
07/11/2020 13.02.23;0,24714136;-0,03195793;0,15126756
07/11/2020 13.02.23;0,2396845;-0,026631612;0,17470337
07/11/2020 13.02.24;-0,1257012;-0,046871636;-0,0063915867
07/11/2020 13.02.33;-0,18535602;-0,04474111;-0,06498113
07/11/2020 13.02.33;-0,18642128;-0,040480047;-0,06924219
07/11/2020 13.02.33;0,013848438;-0,02876214;0,037284255
07/11/2020 13.02.33;0,054328486;-0,026631612;0,05219796
07/11/2020 13.03.06;0,07456851;-0,018109497;0,05965481
07/11/2020 13.03.06;0,18109496;0,014913702;0,083090626
07/11/2020 13.03.06;0,113983296;0,010652645;0,039414786
07/11/2020 13.03.06;-0,13848437;0;-0,07882957
07/11/2020 13.03.06;-0,2695119;-0,0063915867;-0,13102753
07/11/2020 13.03.06;-0,098004326;-0,008522116;-0,049002163
07/11/2020 13.04.53;-0,15020229;-0,010652645;-0,06924219
07/11/2020 13.04.53;-0,11824436;0,018109497;0,14168017
07/11/2020 13.04.53;-0,15233281;-0,033023197;0,08522116
07/11/2020 13.04.53;-0,014913702;-0,035153728;-0,053263225
07/11/2020 13.05.37;0,11611383;-0,015978966;-0,13102753
07/11/2020 13.05.37;-0,011717909;0,053263225;-0,16937704
07/11/2020 13.05.37;-0,3536678;0,040480047;0,058589544
07/11/2020 13.05.37;-0,38029942;0,07456851;0,03834952
07/11/2020 13.05.37;-0,41545314;0,06924219;0,035153728
07/11/2020 13.05.37;-0,022370555;0,066046394;-0,15126756
