stamp;x;y;z
07/11/2020 12.29.53;-3,204639;-7,1263413;5,741296
07/11/2020 12.29.53;-3,4356794;-7,551312;5,3642087
07/11/2020 12.29.53;-3,5098996;-7,7344685;5,803545
07/11/2020 12.29.53;-3,405752;-7,101202;6,4032927
07/11/2020 12.29.53;-3,4691982;-7,893683;6,7624226
07/11/2020 12.29.53;-3,383007;-6,803124;6,331466
07/11/2020 12.29.53;-3,3770216;-6,329072;6,1387334
07/11/2020 12.29.53;-3,4213142;-7,2963295;6,4882865
07/11/2020 12.29.53;-3,3207579;-7,2113357;6,6786256
07/11/2020 12.29.53;-3,0669725;-6,945579;5,5581393
07/11/2020 12.29.53;-3,2010477;-8,291121;6,1746464
07/11/2020 12.29.53;-3,2944214;-8,404845;6,019023
07/11/2020 12.29.53;-2,7880478;-7,627927;5,4922986
07/11/2020 12.29.53;-3,13401;-7,7201033;5,756858
07/11/2020 12.29.53;-3,1723173;-7,536947;5,639542
07/11/2020 12.29.53;-2,6431987;-7,8386164;5,2277393
07/11/2020 12.29.53;-3,2022448;-8,175002;6,35062
07/11/2020 12.29.53;-3,6858735;-7,8446016;5,8634
07/11/2020 12.29.53;-3,4763808;-7,4471645;4,7405195
07/11/2020 12.29.53;-3,6475663;-7,607576;5,853823
07/11/2020 12.29.53;-3,0621839;-7,8086886;5,8238955
07/11/2020 12.29.53;-2,944868;-7,8027034;5,8466406
07/11/2020 12.29.53;-3,0023289;-7,4495587;5,5365915
07/11/2020 12.29.53;-3,655946;-7,6494746;6,042965
07/11/2020 12.29.53;-2,837129;-7,3753386;5,439626
07/11/2020 12.29.53;-2,9951463;-8,597578;6,2009826
07/11/2020 12.29.53;-2,7856536;-7,8410106;5,7185507
07/11/2020 12.29.53;-2,789245;-8,139089;6,2859764
07/11/2020 12.29.53;-4,156334;-7,335834;4,6806645
07/11/2020 12.29.53;-3,7672763;-6,063316;4,3993454
07/11/2020 12.29.53;-4,1814733;-8,062474;6,8342485
07/11/2020 12.29.53;-2,9616275;-7,8170686;6,757634
07/11/2020 12.29.53;-3,1783028;-7,189788;6,587646
07/11/2020 12.29.53;-3,0382419;-7,2699933;6,506243
07/11/2020 12.29.53;-4,209007;-6,661866;6,0884547
07/11/2020 12.29.53;-3,870227;-6,7025676;6,3889275
07/11/2020 12.29.53;-3,0921116;-6,59004;6,179435
07/11/2020 12.29.53;-3,7002387;-7,6123643;7,1706343
07/11/2020 12.29.53;-3,8175547;-6,6271505;6,343437
